50000001,PA,North East,Owned,"Single, that is never married",Retired,"Four year college or university degree/Bachelor.s degree (e.g., BS, BA, AB)",White Non-Hispanic,An Independent,Somewhat conservative,Protestant, ,Never,Very concerned
50000004,FL,South,Rented,Widowed,Retired,High school graduate (Grade 12 with diploma or GED certificate),White Non-Hispanic,A Republican,Moderate,"Orthodox (Eastern, Greek, Russian, Armenian, etc)", ,Not applicable/Does not have vaginal intercourse/sex,Very concerned
50000005,MI,North Central,Rented,Married,Homemaker,"Some college, no degree (includes community college)",Native American/American Indian/Alaska Native,An Independent,Somewhat liberal,Protestant,"Yes, covered by health insurance",Every time,Very concerned
50000008,NY,North East,Owned,Widowed,Part-time,"Four year college or university degree/Bachelor.s degree (e.g., BS, BA, AB)",White Non-Hispanic,A Republican,Somewhat conservative,Jewish/Judaism, ,Never,Not very concerned
50000009,PA,North East,Owned,Married,Retired,"Four year college or university degree/Bachelor.s degree (e.g., BS, BA, AB)",White Non-Hispanic,A Republican,Very conservative,Protestant, ,Never,Not very concerned
50000010,MD,South,Owned,Divorced,Retired,High school graduate (Grade 12 with diploma or GED certificate),White Non-Hispanic,A Republican,Very conservative,Protestant, ,Never,Not at all concerned
50000011,NY,North East,Rented,"Single, that is never married",Full-time,Two year associate degree from a college or university,White Non-Hispanic,A Democrat,Moderate,"Catholic, Roman Catholic","Yes, covered by health insurance",Every time,Not very concerned
50000012,FL,South,Owned,Married,Full-time,"Postgraduate or professional degree, including master's, doctorate, medical or law degree (e.g., MA, MS, PhD, MD, JD)",White Hispanic,A Republican,Somewhat conservative,"Catholic, Roman Catholic","Yes, covered by health insurance",Once in a while,Somewhat concerned
50000013,NC,South,Owned,Married,Retired,High school graduate (Grade 12 with diploma or GED certificate),White Non-Hispanic,An Independent,Moderate,Protestant, ,Never,Somewhat concerned
50000014,NC,South,Owned,Widowed,Retired,High school graduate (Grade 12 with diploma or GED certificate),White Non-Hispanic,A Republican,Moderate,Protestant, ,Not applicable/Does not have vaginal intercourse/sex,Not at all concerned
50000016,WV,South,Owned,Married,Full-time,"Some college, no degree (includes community college)",White Non-Hispanic,A Democrat,Very liberal,Buddhist,"Yes, covered by health insurance",Every time,Very concerned
50000017,ME,North East,Owned,Married,Retired,High school graduate (Grade 12 with diploma or GED certificate),White Non-Hispanic,An Independent,Moderate,Protestant, ,Never,Very concerned
50000019,MI,North Central,Owned,Married,Homemaker,"Four year college or university degree/Bachelor.s degree (e.g., BS, BA, AB)",White Non-Hispanic,An Independent,Moderate,Protestant,"Yes, covered by health insurance",Never,Somewhat concerned
50000021,MI,North Central,Owned,Widowed,Retired,"Four year college or university degree/Bachelor.s degree (e.g., BS, BA, AB)",Black Non-Hispanic,A Democrat,Moderate,Protestant, ,Never,Not at all concerned
