50000001,PA,Independent,Somewhat conservative,Protestant,Never,Very concerned
50000004,FL,Republican,Moderate,"Orthodox (Eastern, Greek, Russian, Armenian, etc)",Not applicable/Does not have vaginal intercourse/sex,Very concerned
50000005,MI,Independent,Somewhat liberal,Protestant,Every time,Very concerned
50000008,NY,Republican,Somewhat conservative,Jewish/Judaism,Never,Not very concerned
50000009,PA,Republican,Very conservative,Protestant,Never,Not very concerned
50000010,MD,Republican,Very conservative,Protestant,Never,Not at all concerned
50000011,NY,Democrat,Moderate,"Catholic, Roman Catholic",Every time,Not very concerned
50000012,FL,Republican,Somewhat conservative,"Catholic, Roman Catholic",Once in a while,Somewhat concerned
50000013,NC,Independent,Moderate,Protestant,Never,Somewhat concerned
50000014,NC,Republican,Moderate,Protestant,Not applicable/Does not have vaginal intercourse/sex,Not at all concerned
50000016,WV,Democrat,Very liberal,Buddhist,Every time,Very concerned
50000017,ME,Independent,Moderate,Protestant,Never,Very concerned
50000019,MI,Independent,Moderate,Protestant,Never,Somewhat concerned
50000021,MI,Democrat,Moderate,Protestant,Never,Not at all concerned
50000023,LA,Republican,Very conservative,Protestant,Not applicable/Does not have vaginal intercourse/sex,Not very concerned
50000030,MD,Democrat,Moderate,Methodist,Every time,Not at all concerned
50000031,MN,Independent,Moderate,"Catholic, Roman Catholic",Never,Not at all concerned
50000033,IA,Independent,Somewhat conservative,Protestant,Never,Not very concerned
50000035,IA,Republican,Very conservative,Baptist,Not applicable/Does not have vaginal intercourse/sex,Not at all concerned
50000036,WI,Democrat,Somewhat liberal,Unitarian/Universalist,Never,Very concerned
50000038,UT,Republican,Very conservative,Protestant,Never,Not at all concerned
50000039,UT,Republican,Somewhat conservative,Mormon (Church of Jesus Christ of Latter-Day Saints/LDS),Every time,Not very concerned
50000040,OR,Independent,Somewhat liberal,Protestant,Not applicable/Does not have vaginal intercourse/sex,Very concerned
50000041,OR,Independent,Somewhat conservative,Protestant,Not applicable/Does not have vaginal intercourse/sex,Not at all concerned
50000043,OR,Democrat,Very liberal,Protestant,Not applicable/Does not have vaginal intercourse/sex,Very concerned
50000044,OR,Democrat,Very liberal,"Catholic, Roman Catholic",Every time,Very concerned
50000051,CA,Democrat,Somewhat liberal,Nothing in particular,Every time,Very concerned
50000052,OR,Republican,Very conservative,Christian (Just Christian),Refused,Not at all concerned
50000053,CA,Independent,Somewhat liberal,Agnostic,Every time,Very concerned
50000055,OR,Independent,Moderate,Nothing in particular,Never,Very concerned
50000057,FL,Democrat,Moderate,Methodist,Never,Not at all concerned
50000060,PA,Democrat,Somewhat liberal,Refused,Refused,Somewhat concerned
50000061,ME,Independent,Somewhat liberal,Protestant,Not applicable/Does not have vaginal intercourse/sex,Very concerned
50000062,OH,Independent,Very conservative,Nothing in particular,Never,Not at all concerned
50000063,FL,Independent,Very conservative,Protestant,Never,Not at all concerned
50000067,NC,Independent,Somewhat conservative,Episcopalian or Anglican,Never,Not at all concerned
50000070,GA,Republican,Very conservative,Protestant,Not applicable/Does not have vaginal intercourse/sex,Refused
50000072,MI,Democrat,Very conservative,"Catholic, Roman Catholic",Never,Not at all concerned
50000074,SC,Independent,Somewhat conservative,Nothing in particular,Never,Not at all concerned
