PA,Independent,Somewhat conservative,Protestant,Never,Very concerned
FL,Republican,Moderate,"Orthodox (Eastern, Greek, Russian, Armenian, etc)",Not applicable/Does not have vaginal intercourse/sex,Very concerned
MI,Independent,Somewhat liberal,Protestant,Every time,Very concerned
NY,Republican,Somewhat conservative,Jewish/Judaism,Never,Not very concerned
PA,Republican,Very conservative,Protestant,Never,Not very concerned
MD,Republican,Very conservative,Protestant,Never,Not at all concerned
NY,Democrat,Moderate,"Catholic, Roman Catholic",Every time,Not very concerned
FL,Republican,Somewhat conservative,"Catholic, Roman Catholic",Once in a while,Somewhat concerned
NC,Independent,Moderate,Protestant,Never,Somewhat concerned
NC,Republican,Moderate,Protestant,Not applicable/Does not have vaginal intercourse/sex,Not at all concerned
WV,Democrat,Very liberal,Buddhist,Every time,Very concerned
ME,Independent,Moderate,Protestant,Never,Very concerned
MI,Independent,Moderate,Protestant,Never,Somewhat concerned
MI,Democrat,Moderate,Protestant,Never,Not at all concerned
LA,Republican,Very conservative,Protestant,Not applicable/Does not have vaginal intercourse/sex,Not very concerned
MD,Democrat,Moderate,Methodist,Every time,Not at all concerned
MN,Independent,Moderate,"Catholic, Roman Catholic",Never,Not at all concerned
IA,Independent,Somewhat conservative,Protestant,Never,Not very concerned
IA,Republican,Very conservative,Baptist,Not applicable/Does not have vaginal intercourse/sex,Not at all concerned
WI,Democrat,Somewhat liberal,Unitarian/Universalist,Never,Very concerned
UT,Republican,Very conservative,Protestant,Never,Not at all concerned
UT,Republican,Somewhat conservative,Mormon (Church of Jesus Christ of Latter-Day Saints/LDS),Every time,Not very concerned
OR,Independent,Somewhat liberal,Protestant,Not applicable/Does not have vaginal intercourse/sex,Very concerned
OR,Independent,Somewhat conservative,Protestant,Not applicable/Does not have vaginal intercourse/sex,Not at all concerned
OR,Democrat,Very liberal,Protestant,Not applicable/Does not have vaginal intercourse/sex,Very concerned
OR,Democrat,Very liberal,"Catholic, Roman Catholic",Every time,Very concerned
CA,Democrat,Somewhat liberal,Nothing in particular,Every time,Very concerned
OR,Republican,Very conservative,Christian (Just Christian),Refused,Not at all concerned
CA,Independent,Somewhat liberal,Agnostic,Every time,Very concerned
OR,Independent,Moderate,Nothing in particular,Never,Very concerned
FL,Democrat,Moderate,Methodist,Never,Not at all concerned
PA,Democrat,Somewhat liberal,Refused,Refused,Somewhat concerned
ME,Independent,Somewhat liberal,Protestant,Not applicable/Does not have vaginal intercourse/sex,Very concerned
OH,Independent,Very conservative,Nothing in particular,Never,Not at all concerned
FL,Independent,Very conservative,Protestant,Never,Not at all concerned
NC,Independent,Somewhat conservative,Episcopalian or Anglican,Never,Not at all concerned
GA,Republican,Very conservative,Protestant,Not applicable/Does not have vaginal intercourse/sex,Refused
MI,Democrat,Very conservative,"Catholic, Roman Catholic",Never,Not at all concerned
SC,Independent,Somewhat conservative,Nothing in particular,Never,Not at all concerned
NJ,Independent,Moderate,"Catholic, Roman Catholic",Refused,Not very concerned
GA,Republican,Somewhat liberal,Baptist,Every time,Not very concerned
NC,Independent,Somewhat conservative,"Pentecostal (Assemblies of God, Four-Square Gospel)",Every time,Very concerned
NY,Democrat,Somewhat liberal,Refused,Every time,Very concerned
VA,Independent,Very conservative,Episcopalian or Anglican,Never,Not at all concerned
FL,Republican,Very conservative,Protestant,Not applicable/Does not have vaginal intercourse/sex,Not at all concerned
OH,Republican,Somewhat conservative,Atheist,Every time,Not very concerned
VA,Independent,Somewhat conservative,Protestant,Every time,Not very concerned
GA,Democrat,Somewhat liberal,Protestant,Never,Very concerned
VA,Democrat,Somewhat liberal,Jewish/Judaism,Refused,Very concerned
FL,Democrat,Somewhat liberal,Nothing in particular,Refused,Very concerned
FL,Democrat,Very liberal,Protestant,Every time,Very concerned
OK,Democrat,Somewhat liberal,Baptist,Not applicable/Does not have vaginal intercourse/sex,Very concerned
NY,Republican,Very conservative,Methodist,Once in a while,Somewhat concerned
TX,Democrat,Somewhat conservative,Baptist,Never,Very concerned
KY,Democrat,Moderate,Nothing in particular,Never,Not at all concerned
MN,Democrat,Moderate,Baptist,Never,Very concerned
NC,Republican,Very conservative,Protestant,Never,Not at all concerned
IL,Independent,Moderate,Protestant,Not applicable/Does not have vaginal intercourse/sex,Somewhat concerned
NH,Independent,Moderate,Other,Never,Very concerned
OK,Independent,Somewhat liberal,Protestant,Never,Not at all concerned
PA,Republican,Somewhat conservative,Protestant,Every time,Very concerned
PA,Independent,Somewhat liberal,Protestant,Not applicable/Does not have vaginal intercourse/sex,Not at all concerned
KS,Republican,Somewhat conservative,Christian (Just Christian),Never,Not at all concerned
MN,Independent,Somewhat conservative,Protestant,Never,Not at all concerned
WI,Democrat,Very liberal,Agnostic,Every time,Somewhat concerned
IA,Independent,Moderate,Lutheran,Not applicable/Does not have vaginal intercourse/sex,Not very concerned
IL,Democrat,Moderate,Lutheran,Not applicable/Does not have vaginal intercourse/sex,Very concerned
IL,Democrat,Very liberal,Nothing in particular,Not applicable/Does not have vaginal intercourse/sex,Very concerned
UT,Republican,Very conservative,Mormon (Church of Jesus Christ of Latter-Day Saints/LDS),Not applicable/Does not have vaginal intercourse/sex,Not at all concerned
UT,Independent,Moderate,Agnostic,Not applicable/Does not have vaginal intercourse/sex,Not at all concerned
CO,Independent,Moderate,Christian (Just Christian),Never,Not at all concerned
CA,Independent,Somewhat liberal,Nothing in particular,Every time,Very concerned
CA,Republican,Somewhat conservative,"Catholic, Roman Catholic",Never,Not at all concerned
AZ,Republican,Very conservative,Protestant,Not applicable/Does not have vaginal intercourse/sex,Not at all concerned
CA,Democrat,Moderate,Agnostic,Every time,Very concerned
CA,Democrat,Somewhat liberal,"Catholic, Roman Catholic",Every time,Very concerned
UT,Independent,Moderate,Mormon (Church of Jesus Christ of Latter-Day Saints/LDS),Every time,Not at all concerned
FL,Refused,Refused,Refused,Not applicable/Does not have vaginal intercourse/sex,Not at all concerned
SC,Democrat,Very conservative,Jehovah's Witness,Never,Very concerned
CA,Democrat,Very liberal,Atheist,Never,Very concerned
MT,Independent,Somewhat liberal,Nothing in particular,Never,Very concerned
AZ,Democrat,Very liberal,Agnostic,Never,Not at all concerned
KS,Independent,Refused,Christian (Just Christian),Never,Very concerned
MT,Independent,Very liberal,Nothing in particular,Never,Not at all concerned
WI,Independent,Somewhat liberal,Nothing in particular,Never,Somewhat concerned
WA,Independent,Moderate,Protestant,Never,Not at all concerned
CA,Democrat,Somewhat liberal,Nothing in particular,Every time,Very concerned
CA,Independent,Refused,Christian (Just Christian),Never,Very concerned
CA,Democrat,Very liberal,Agnostic,Never,Not at all concerned
AZ,Republican,Somewhat conservative,Protestant,Not applicable/Does not have vaginal intercourse/sex,Not at all concerned
TN,Democrat,Somewhat liberal,Non-denominational or Independent Church,Never,Very concerned
NY,Independent,Somewhat liberal,Nothing in particular,Never,Somewhat concerned
PA,Republican,Very conservative,Protestant,Never,Not at all concerned
WA,Democrat,Moderate,Baptist,Almost every time,Very concerned
FL,Independent,Somewhat conservative,Nothing in particular,Never,Not at all concerned
NY,Democrat,Very liberal,Christian (Just Christian),Not applicable/Does not have vaginal intercourse/sex,Very concerned
IN,Independent,Somewhat liberal,Protestant,Every time,Very concerned
AZ,Independent,Somewhat liberal,Nothing in particular,Every time,Very concerned
OH,Democrat,Somewhat liberal,"Catholic, Roman Catholic",Never,Very concerned
WV,Independent,Somewhat conservative,Christian (Just Christian),Every time,Not at all concerned
KY,Democrat,Somewhat liberal,"Catholic, Roman Catholic",Every time,Very concerned
FL,Republican,Somewhat conservative,"Catholic, Roman Catholic",Not applicable/Does not have vaginal intercourse/sex,Somewhat concerned
SC,Independent,Moderate,Protestant,Never,Not at all concerned
MI,Don't know,Very conservative,Christian (Just Christian),Never,Not very concerned
CA,Independent,Very conservative,Protestant,Never,Not at all concerned
GA,Refused,Refused,Protestant,Not applicable/Does not have vaginal intercourse/sex,Not applicable/don't believe in birth control
MD,Independent,Moderate,Protestant,Never,Refused
MI,Refused,Refused,Refused,Never,Very concerned
OH,Independent,Moderate,Protestant,Never,Somewhat concerned
CA,Independent,Moderate,Christian (Just Christian),Every time,Not at all concerned
WI,Refused,Refused,Lutheran,Not applicable/Does not have vaginal intercourse/sex,Very concerned
NY,Democrat,Somewhat liberal,Jewish/Judaism,Never,Very concerned
NC,Republican,Somewhat conservative,Protestant,Never,Not at all concerned
NY,Republican,Somewhat conservative,Nothing in particular,Never,Not at all concerned
NC,Independent,Very conservative,Protestant,Never,Not at all concerned
IL,Independent,Somewhat liberal,Protestant,Never,Not at all concerned
CT,Independent,Somewhat liberal,Nothing in particular,Refused,Very concerned
PA,Independent,Moderate,Refused,Every time,Very concerned
AR,Democrat,Somewhat liberal,Protestant,Never,Not at all concerned
NY,Democrat,Moderate,Hindu,Every time,Very concerned
IL,Republican,Very conservative,Protestant,Not applicable/Does not have vaginal intercourse/sex,Somewhat concerned
TN,Democrat,Somewhat conservative,Protestant,Never,Somewhat concerned
TX,Republican,Very conservative,"Catholic, Roman Catholic",Every time,Not at all concerned
VA,Refused,Somewhat conservative,Baptist,Every time,Not at all concerned
WI,Democrat,Somewhat conservative,Lutheran,Never,Not very concerned
OK,Refused,Refused,Christian (Just Christian),Never,Not at all concerned
VT,Independent,Somewhat conservative,Mormon (Church of Jesus Christ of Latter-Day Saints/LDS),Never,Not very concerned
KY,Democrat,Very conservative,Baptist,Never,Not at all concerned
PA,Independent,Refused,Christian (Just Christian),Not applicable/Does not have vaginal intercourse/sex,Not applicable/don't believe in birth control
NY,Independent,Somewhat conservative,"Catholic, Roman Catholic",About half the time,Somewhat concerned
KY,Republican,Very conservative,Christian (Just Christian),Never,Not at all concerned
KY,Independent,Very liberal,Atheist,Never,Very concerned
NJ,Democrat,Somewhat liberal,Nothing in particular,Almost every time,Very concerned
SC,Democrat,Moderate,Muslim/Islamic,Almost every time,Not very concerned
FL,Independent,Moderate,"Catholic, Roman Catholic",Never,Not at all concerned
PA,Democrat,Somewhat liberal,Protestant,Not applicable/Does not have vaginal intercourse/sex,Very concerned
NY,Independent,Very conservative,Nothing in particular,Never,Not at all concerned
GA,Independent,Refused,Nothing in particular,Refused,Not at all concerned
SC,Republican,Somewhat conservative,"Catholic, Roman Catholic",Not applicable/Does not have vaginal intercourse/sex,Not at all concerned
NY,Republican,Somewhat conservative,"Catholic, Roman Catholic",Never,Not at all concerned
TX,Democrat,Very liberal,Agnostic,Not applicable/Does not have vaginal intercourse/sex,Very concerned
MN,Independent,Refused,Lutheran,Never,Not at all concerned
AZ,Independent,Moderate,Nothing in particular,Not applicable/Does not have vaginal intercourse/sex,Not at all concerned
MN,Republican,Very conservative,"Catholic, Roman Catholic",Never,Very concerned
IA,Democrat,Somewhat liberal,Atheist,About half the time,Very concerned
WI,Democrat,Somewhat liberal,Atheist,Not applicable/Does not have vaginal intercourse/sex,Very concerned
MN,Independent,Moderate,Nothing in particular,Never,Not at all concerned
AL,Independent,Very conservative,Baptist,Never,Not at all concerned
WI,Democrat,Moderate,"Catholic, Roman Catholic",Never,Somewhat concerned
KS,Republican,Very conservative,Nothing in particular,Never,Not at all concerned
CA,Democrat,Very liberal,Protestant,Never,Very concerned
OR,Independent,Somewhat liberal,"Catholic, Roman Catholic",Every time,Not at all concerned
WA,Independent,Moderate,Muslim/Islamic,Never,Very concerned
VA,Democrat,Somewhat conservative,"Catholic, Roman Catholic",Never,Not applicable/don't believe in birth control
FL,Independent,Very liberal,"Catholic, Roman Catholic",Every time,Very concerned
WA,Democrat,Somewhat liberal,Christian (Just Christian),Almost every time,Very concerned
IN,Republican,Very conservative,Other,Not applicable/Does not have vaginal intercourse/sex,Not very concerned
VT,Refused,Moderate,"Catholic, Roman Catholic",Every time,Don't know
MI,Republican,Moderate,"Catholic, Roman Catholic",Never,Not very concerned
FL,Independent,Somewhat conservative,"Catholic, Roman Catholic",Not applicable/Does not have vaginal intercourse/sex,Somewhat concerned
PA,Democrat,Moderate,Christian (Just Christian),Not applicable/Does not have vaginal intercourse/sex,Very concerned
TN,Republican,Moderate,"Catholic, Roman Catholic",Never,Not at all concerned
PA,Democrat,Somewhat liberal,Jewish/Judaism,Never,Somewhat concerned
NY,Democrat,Very liberal,"Catholic, Roman Catholic",Not applicable/Does not have vaginal intercourse/sex,Somewhat concerned
WV,Independent,Somewhat conservative,Baptist,About half the time,Not at all concerned
TX,Republican,Very conservative,Protestant,Never,Not at all concerned
VA,Republican,Very conservative,"Catholic, Roman Catholic",Never,Not at all concerned
CT,Independent,Moderate,"Catholic, Roman Catholic",Not applicable/Does not have vaginal intercourse/sex,Not at all concerned
VA,Democrat,Somewhat liberal,Nothing in particular,Never,Very concerned
OH,Republican,Somewhat liberal,Protestant,Not applicable/Does not have vaginal intercourse/sex,Somewhat concerned
FL,Democrat,Somewhat conservative,Christian (Just Christian),Never,Not at all concerned
IN,Republican,Somewhat conservative,Methodist,Never,Not at all concerned
SC,Democrat,Somewhat conservative,Protestant,Not applicable/Does not have vaginal intercourse/sex,Very concerned
MD,Democrat,Very liberal,Nothing in particular,Not applicable/Does not have vaginal intercourse/sex,Very concerned
NJ,Independent,Moderate,"Catholic, Roman Catholic",Never,Somewhat concerned
NC,Republican,Somewhat conservative,Christian (Just Christian),Never,Not at all concerned
FL,Republican,Very conservative,"Pentecostal (Assemblies of God, Four-Square Gospel)",Never,Not at all concerned
FL,Republican,Very conservative,"Catholic, Roman Catholic",Never,Not at all concerned
MI,Democrat,Somewhat liberal,Baptist,Not applicable/Does not have vaginal intercourse/sex,Not at all concerned
NJ,Democrat,Very conservative,"Catholic, Roman Catholic",Never,Very concerned
NY,Democrat,Very liberal,Jewish/Judaism,Never,Very concerned
MO,Democrat,Very liberal,Nothing in particular,Never,Very concerned
MI,Democrat,Moderate,Protestant,Not applicable/Does not have vaginal intercourse/sex,Somewhat concerned
KY,Independent,Somewhat conservative,Nothing in particular,Every time,Not at all concerned
