case_id,week,popwght,state,nielsen,metro,region,division,ownhome,mstatus,employ,totper,adults,kids1217,kids611,kidsless6,parent,age,age2,totalage,refage,educ,income,race,affilrot,polparty,partyln,partycomb,polviewrot,polview,regvote,sex,religion,ident,anycell,anyland,bornus,date,healthins,typeins,he2k,he2z,birt1,birt2,birt3rot,birt3,birt4,birt5rot,birt5a,birt5b,birt5c,birt6rot,birt6a,birt6b,birt6c,birt6d,birt6e,birt6f,birt7,birt8,birt9
50000001,839,.25,PA,D,Non-Metro,North East,Mid Atlantic,Owned,"Single, that is never married",Retired,One,One, , , , ,74, ,65+,65+,"Four year college or university degree/Bachelor.s degree (e.g., BS, BA, AB)","$30,000 but less than $40,000",White Non-Hispanic,Republican/Democrat,An Independent,Democratic,Democrat/leans Democrat,d3 1-5 asked,Somewhat conservative,Yes,Male,Protestant,Landline,No, , ,200929, , , , ,No,Yes,"5,1",Never, , , , , ,FA,No, , , , ,No,Very concerned, ,Yes
50000004,839,.7544,FL,B,Center City (Metro),South,South Atlantic,Rented,Widowed,Retired,One,One, , , , ,81, ,65+,65+,High school graduate (Grade 12 with diploma or GED certificate),"$50,000 but less than $75,000",White Non-Hispanic,Republican/Democrat,A Republican, ,Republican/leans Republican,d3 5-1 asked,Moderate,Yes,Female,"Orthodox (Eastern, Greek, Russian, Armenian, etc)",Landline,Yes, , ,200929, , , , ,No,Not applicable/Have not looked for information on birth control,"1,5",Not applicable/Does not have vaginal intercourse/sex, , , , , ,FA,No, , , , ,No,Very concerned, ,Yes
50000005,839,.7256,MI,B,Suburban (Metro),North Central,East North Central,Rented,Married,Homemaker,Three,Two,None,None,One,Yes,30, ,30-49,30-44,"Some college, no degree (includes community college)","$50,000 but less than $75,000",Native American/American Indian/Alaska Native,Republican/Democrat,An Independent,Democratic,Democrat/leans Democrat,d3 1-5 asked,Somewhat liberal,Yes,Female,Protestant,Landline,Yes, , ,200929,"Yes, covered by health insurance",Medicare, , ,No,Yes,"5,1",Every time,Yes,CAB,Yes,Yes,Yes,BDFCAE,No,No,No,No,Yes,No,Very concerned,Very concerned,Yes
50000008,839,.3615,NY,A,Suburban (Metro),North East,Mid Atlantic,Owned,Widowed,Part-time,One,One, , , , ,85, ,65+,65+,"Four year college or university degree/Bachelor.s degree (e.g., BS, BA, AB)","$50,000 but less than $75,000",White Non-Hispanic,Democrat/Republican,A Republican, ,Republican/leans Republican,d3 5-1 asked,Somewhat conservative,Yes,Female,Jewish/Judaism,Landline,Yes, , ,200929, , , , ,Not applicable/Not having sex/No partner/Not able to get pregnant/get someone pregnant/respondent or partner is currentl,Yes,"1,5",Never, , , , , ,AF,No, , , , ,No,Not very concerned, ,No
50000009,839,.4327,PA,B,Center City (Metro),North East,Mid Atlantic,Owned,Married,Retired,Two,Two, , , , ,80, ,65+,65+,"Four year college or university degree/Bachelor.s degree (e.g., BS, BA, AB)","$40,000 but less than $50,000",White Non-Hispanic,Democrat/Republican,A Republican, ,Republican/leans Republican,d3 5-1 asked,Very conservative,Yes,Male,Protestant,Landline,Yes, , ,200929, , , , ,No,Not applicable/Have not looked for information on birth control,"5,1",Never, , , , , ,AF,No, , , , ,No,Not very concerned, ,No
50000010,839,.4755,MD,A,Suburban (Metro),South,South Atlantic,Owned,Divorced,Retired,One,One, , , , ,79, ,65+,65+,High school graduate (Grade 12 with diploma or GED certificate),"$75,000 but less than $100,000",White Non-Hispanic,Democrat/Republican,A Republican, ,Republican/leans Republican,d3 1-5 asked,Very conservative,Yes,Female,Protestant,Landline,No, , ,200929, , , , ,No,No,"5,1",Never, , , , , ,FA,No, , , , ,No,Not at all concerned, ,No
50000011,839,.7641,NY,A,Center City (Metro),North East,Mid Atlantic,Rented,"Single, that is never married",Full-time,Three,Three, , , , ,59, ,50-64,45-64,Two year associate degree from a college or university,"$150,000 to under $200,000",White Non-Hispanic,Democrat/Republican,A Democrat, ,Democrat/leans Democrat,d3 5-1 asked,Moderate,Yes,Male,"Catholic, Roman Catholic",Landline,Yes, , ,200929,"Yes, covered by health insurance",Plan through your or your spouse's employer, , ,No,Yes,"5,1",Every time,Yes,CBA,Yes,No,No,FACDEB,Yes,No,No,No,No,No,Not very concerned,Not too concerned,Yes
50000012,839,.4762,FL,B,Center City (Metro),South,South Atlantic,Owned,Married,Full-time,Four,Four, , , , ,46, ,30-49,45-64,"Postgraduate or professional degree, including master's, doctorate, medical or law degree (e.g., MA, MS, PhD, MD, JD)","$250,000 or more",White Hispanic,Democrat/Republican,A Republican, ,Republican/leans Republican,d3 5-1 asked,Somewhat conservative,Yes,Male,"Catholic, Roman Catholic",Landline,Yes, ,United States,200929,"Yes, covered by health insurance",Plan through your or your spouse's employer, , ,No,Yes,"1,5",Once in a while,Yes,BAC,Yes,Yes,Yes,BFECAD,No,No,Yes,No,Yes,No,Somewhat concerned,Not at all concerned,Yes
50000013,839,1.3913,NC,B,Center City County (Metro),South,South Atlantic,Owned,Married,Retired,Two,Two, , , , ,81, ,65+,65+,High school graduate (Grade 12 with diploma or GED certificate),"$100,000 to under $150,000",White Non-Hispanic,Democrat/Republican,An Independent,Neither/other,Independent/other,d3 1-5 asked,Moderate,Yes,Male,Protestant,Landline,Yes, , ,200929, , , , ,No,Yes,"5,1",Never, , , , , ,FA,Yes, , , , ,Yes,Somewhat concerned, ,Yes
50000014,839,.7512,NC,B,Suburban (Metro),South,South Atlantic,Owned,Widowed,Retired,One,One, , , , ,83, ,65+,65+,High school graduate (Grade 12 with diploma or GED certificate),"$30,000 but less than $40,000",White Non-Hispanic,Democrat/Republican,A Republican, ,Republican/leans Republican,d3 1-5 asked,Moderate,Yes,Female,Protestant,Landline,Yes, , ,200929, , , , ,Not applicable/Not having sex/No partner/Not able to get pregnant/get someone pregnant/respondent or partner is currentl,Yes,"1,5",Not applicable/Does not have vaginal intercourse/sex, , , , , ,AF,No, , , , ,Not applicable,Not at all concerned, ,No
50000016,839,.4092,WV,D,Non-Metro,South,South Atlantic,Owned,Married,Full-time,Four,Two,One,One,None,Yes,32, ,30-49,30-44,"Some college, no degree (includes community college)","$30,000 but less than $40,000",White Non-Hispanic,Republican/Democrat,A Democrat, ,Democrat/leans Democrat,d3 1-5 asked,Very liberal,Yes,Male,Buddhist,Landline,Yes, , ,200929,"Yes, covered by health insurance",Plan through your or your spouse's employer, , ,No,Yes,"1,5",Every time,Yes,C,"Not shown, selected Not Applicable at previous item","Not shown, selected Not Applicable at previous item",Not applicable/I have not used birth control during the pandemic,FA,No, , , , ,No,Very concerned,Very concerned,Yes
50000017,839,1.6197,ME,C,Center City County (Metro),North East,New England,Owned,Married,Retired,Two,Two, , , , ,84, ,65+,65+,High school graduate (Grade 12 with diploma or GED certificate),"$50,000 but less than $75,000",White Non-Hispanic,Republican/Democrat,An Independent,Democratic,Democrat/leans Democrat,d3 5-1 asked,Moderate,Yes,Female,Protestant,Landline,Yes, , ,200929, , , , ,No,Yes,"5,1",Never, , , , , ,FA,No, , , , ,No,Very concerned, ,Yes
50000019,839,.6756,MI,A,Center City County (Metro),North Central,East North Central,Owned,Married,Homemaker,Two,Two, , , , ,51, ,50-64,45-64,"Four year college or university degree/Bachelor.s degree (e.g., BS, BA, AB)","$40,000 but less than $50,000",White Non-Hispanic,Republican/Democrat,An Independent,Democratic,Democrat/leans Democrat,d3 5-1 asked,Moderate,Yes,Female,Protestant,Landline,Yes, , ,200929,"Yes, covered by health insurance",Plan you purchased yourself either from an insurance company or a state or federal marketplace,From healthcare.gov/state-specific marketplace, ,No,Yes,"1,5",Never, , , , , ,AF,No, , , , ,No,Somewhat concerned, ,Yes
50000021,839,.8097,MI,B,Center City (Metro),North Central,East North Central,Owned,Widowed,Retired,Four,Four, , , , ,74, ,65+,65+,"Four year college or university degree/Bachelor.s degree (e.g., BS, BA, AB)","$50,000 but less than $75,000",Black Non-Hispanic,Republican/Democrat,A Democrat, ,Democrat/leans Democrat,d3 1-5 asked,Moderate,Yes,Female,Protestant,Landline,Yes, , ,200929, , , , ,No,Yes,"5,1",Never, , , , , ,AF,Yes, , , , ,No,Not at all concerned, ,Yes
